,produc_name,alcholicity,capacity,price,keywords
185,동학 1957 청주 13도 375ml,13%,375ml,3300,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,포도주,전통주선물,은사님선물,집들이선물,친구생일선물,"
186,포엠 화이트 스위트 와인 12도 750ml,화이트,부드러움,34000,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,포도주,전통주선물,은사님선물,집들이선물,친구생일선물,"
187,포엠 로제 스위트 와인 12도 750ml,로제,부드러움,34000,"냠냠맛있는,외국인친구선물,외국인손님선물,집들이용선물,집들이선물용,혼술,전통주선물,한국와인,와인선물,모임선물,"
188,평창 서주 감자술 13도 700ml,13%,700ml,17000,"전통주선물,냠냠맛있는,모임선물,혼술,집들이선물용,집들이용선물,외국인친구선물,전통술잔,한국선물,특산품,"
189,평창 서주 감자술 13도 300ml,13%,300ml,4180,"초콜릿향기,사과향,바닐라향,부모님선물,냠냠맛있는,홈캉스,직장상사선물,직장동료선물,은사님선물,"
190,진심 홍삼 인삼주 19도 375ml,19%,375ml,8900,"초콜릿향기,사과향,바닐라향,부모님선물,냠냠맛있는,홈캉스,직장상사선물,직장동료선물,은사님선물,외국인손님선물,"
191,진심 홍삼 인삼주 38도 750ml,38%,750ml,77500,"초콜릿향기,사과향,바닐라향,부모님선물,냠냠맛있는,홈캉스,직장상사선물,직장동료선물,은사님선물,"
192,우희열 명인 한산소곡주 18도 360ml,18%,360ml,9400,"초콜릿향기,사과향,바닐라향,설선물,친구선물,추석선물,친구,부모님선물,냠냠맛있는,홈캉스,"
193,한청 15도 300ml,15%,300ml,8300,"지인선물,추석선물,어버이선물,가족모임,혼술,전통주선물,설날선물,외국인친구선물,외국인손님선물,직장상사선물,"
194,문배술 헤리티지 25도 500ml,25%,500ml,14800,"명절선물,설날선물,외국인친구선물,외국인손님선물,할아버지생신선물,부모님생신선물,스승님선물,전통주선물,직장상사선물,직장동료선물,"
195,녹천주조장 한산소곡주 사비의 꽃 41도 250ml,41%,250ml,35000,"초콜릿향기,사과향,바닐라향,설선물,친구선물,추석선물,친구,부모님선물,냠냠맛있는,홈캉스,"
196,조은술 세종 알밤주 6도 750ml 막걸리형 전통주,6%,750ml,1800,"명절선물,어버이날선물,추석선물,설선물,가족모임,할아버지선물,전통주선물,외국인친구선물,외국인손님선물,상견례선물,"
