제품명,설명
고도리 화이트와인 스위트,GAP인증 거봉 포도로 만든 신의 물방울
고도리 복숭아와인,GAP인증 복숭아로 만든 디저트와인
고운달 오크,문경 오미자로 빚은 프리미엄 증류주
야관문 쌀 막걸리,밤에 빗장문을 열어주는 약초로 빚은 막걸리
지리산 정담 생쌀 막걸리,"함께 나누면 더욱 정다운, 정담 막걸리"
지리산 허브잎 술,대한민국 우리술품평회 2개년 대상 수상
호담 300ml,2014 대한민국 우리술품평회 수상
명술 375ml,2014 대한민국 우리술품평회 수상
호담 산양산삼주,대한민국 우리술품평회 2년 연속 대상 수상
다래와인 7004D,참다래와 빚은 독특고 맛있는 한국와인
다래와인 7004S,참다래와 빚은 독특고 맛있는 한국와인
다래와인 3004,참다래로 빚은 독특고 맛있는 한국와인
풍정사계 동(冬),"겨울에 마시는 귀한 술, 풍정사계 소주"
풍정사계 추(秋),"가을에 마시는 맛있는 술, 풍정사계 탁주"
풍정사계 하(夏),"여름에 마시는 향기로운 술, 풍정사계 과하주"
풍정사계 춘(春),"봄에 마시는 감미로운 술, 풍정사계 약주"
평창 오디주,대관령 오디로 빚은 향긋한 과실주
대관령 복분자주,대관령 복분자로 빚은 향긋한 과실주
평창 머루주,대관령 산머루로 빚은 향긋한 과실주
예담은 한산소곡주,천오백년의 맛과 향이 백일의 정성에 담기다
예담은 한산소곡화주,불소곡주라고도 불리는 한산소곡주 증류주
자두와인 화이트,경북 김천의 최상급 자두로 와인을 빚다
자두와인 레드,경북 김천의 최상급 자두로 와인을 빚다
천안 연미주,천년의 역사가 숨쉬는 술
입장탁주,천안을 대표하는 생막걸리
로얄 안동소주 18년,대한민국 우리술품평회 3년 연속 수상
진심 홍삼주 19도,대한민국 우리술품평회 2년 연속 수상
그랑티그르 S1974,2016 한국와인 베스트셀렉션 금상 수상
베베마루 캠벨로제 스위트,2017 제4회 대한민국주류대상 대상 수상
베베마루 캠벨로제,2016 대한민국 우리술품평회 우수상 수상
신선주,몸에 좋은 약재로 술을 빚어 무병장수를 기원하다
예주,친환경으로 재배한 복분자로 빚은 술
소나무와 학,2016 대한민국 우리술품평회 대상 수상
추사블루,사과와인의 명가에서 만드는 블루베리와인
추사 애플와인,사과의 명소 예산에서 만든 사과와인
동강더덕주,2014 대한민국 우리술품평회 수상
안동소주 일품 17도,안동소주의 맛을 현대적으로 재해석하다
안동소주 일품 21도,안동소주의 맛을 트렌디하게 재해석하다
안동소주 일품 40도 골드,2015 대한민국 우리술품평회 대상 수상
허니비 와인,대한민국 최초로 상용화에 성공한 벌꿀 발효주
산막 생유 막걸리,"무방제, 무색소, 무향료 순수 막걸리"
청춘,한국 전통 청주 부활을 이끈다
산막대덕주,"유(柳)씨 집안 전통 제주, 대덕주"
강쇠,
황진이,2016 대한민국 우리술품평회 대상 수상
주몽 복분자주,2016 대한민국 우리술품평회 대상 수상
DMZ 240km,자연송이 침출액과 프랑스 브랜디가 결합된 제품
자연송이주,자연산 송이버섯으로 빚고 5년을 숙성하다
설궁,2016 대한민국 우리술품평회 최우수상 수상
장수 생 막걸리,
장홍삼 장수 막걸리,농협 한삼인 6년근 홍삼을 발효시킨 고급 웰빙 막걸리
블루베리 이야기,블루베리와 산머루를 혼합한 퓨전 과실주
머루 이야기,2013년 대한민국 우리술품평회 우수상 수상
천마 이야기 막걸리,전통 막걸리를 현대적으로 재해석이다
