,제품명,주종,도수,용량,가격,원재료,제조사
403,지란지교탁주,탁주,13%,500ml,300002병,"탁주찹쌀(국내산),멥쌀(국내산),누룩(국내산),정제수",(유)친구들의술지란지교
404,지리산정담생쌀막걸리_750ml,탁주,6%,750ml,1500,"쌀(국내산),종국,정제수,누룩,효모",지리산그린영농조합운봉주조
405,지리산허브잎술_750ml,살균탁주,6%,750ml,1500,"쌀(국내산),종국,정제수,누룩,효모,국내산허브",지리산그린영농조합운봉주조
406,지장수생막걸리,탁주,6%,750ml,1300,"정제수(지장수),쌀,효모,누룩,과당등",낙천
407,지장수호박막걸리,살균탁주,6%,550ml,5000,"정제수(지장수),쌀,효모,누룩,과당등",낙천
408,지장수호박생막걸리,탁주,6%,750ml,1400,"정제수(지장수),쌀,효모,누룩,과당등",낙천
409,지평생쌀막걸리,탁주,5%,1.7L,2700,"쌀(국내산),정제수,국,효모,정제효소등",지평주조
410,지평생쌀막걸리,탁주,5%,700ml,1650,"쌀(국내산),정제수,국,효모,정제효소등",지평주조
411,지평생옛막걸리,탁주,5%,1.7L,2500,"밀,정제수,국,분말종국,효모,정제효소등",지평주조
412,진도홍주루비콘_375ml,리큐르,40%,375ml,10000,"쌀,누룩,지초,정제수",대대로영농조합법인
413,진맥소주22%,증류식소주,22%,375ml,22000,유기농우리밀100%,농업회사법인(주)밀과노닐다
414,진맥소주40%,증류식소주,40%,200ml/500ml,200ml22000500ml49000,유기농우리밀100%,농업회사법인(주)밀과노닐다
415,진맥소주53%,증류식소주,53%,200ml/500ml,200ml39000500ml88000,유기농우리밀100%,농업회사법인(주)밀과노닐다
416,진심홍삼주19도,일반증류주,19%,375ml,3000,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",태평주가
417,진쾌남,리큐르,25%,330ml,8500,"국내산쌀,밤,누룩,구기자,오미자,산수유,오가피,동충하초,정제수",농업회사법인사곡양조원
418,찰막걸리750ml,생막걸리,5.5%,750ml,1Box750ml*20병30000,"정제수,쌀,밀가루,찹쌀,입국,효모정제효소제,아스파탐",(주)1932포천일동막걸리
419,창원생탁주,탁주,6%,750ml,750ml1000,"쌀(국내산),누룩,효소,아스파탐,정제수",농업회사법인우포의아침(주)
420,천년담주,약주,15%,500ml,10000,"백미(국내산,무기농무농약),벌꿀(국내산),정제수",농업회사법인(주)죽향도가
421,천년전주생막걸리,생탁주,6%,750ml,1300,"정제수,쌀,소맥분,수쿠랄로스,효모,젖산,정제효소",(유)산에들에농업회사법인
