,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
431,천년담주,,2.0,1.0,1.0,4.0,,
432,천년전주생막걸리,,1.0,1.0,2.0,3.0,,
433,천년주밤,2.0,,,,2.0,3.0,
434,천등산차례주,,3.0,2.0,2.0,3.0,,
435,천마몽,2.0,3.0,,,3.0,,
436,천마이야기,,2.0,2.0,2.0,5.0,,
437,천매,3.0,2.0,,,4.0,,
438,천비향오양주약주,,2.0,2.0,1.0,3.0,,
439,천비향오양주탁주,,2.0,2.0,1.0,3.0,,
440,천비향화주,5.0,,,,2.0,4.0,
441,천안연미주,,2.0,3.0,4.0,2.0,,
442,천지주가햅쌀생막걸리,,3.0,2.0,2.0,5.0,,
443,청남대블루베리생막걸리,,3.0,2.0,3.0,2.0,,
444,청명주,,4.0,4.0,2.0,4.0,,
445,청명주,,4.0,4.0,2.0,4.0,,
446,청산녹수꿀막걸리,,1.0,2.0,3.0,4.0,,
447,청산녹수사미인주,,2.0,2.0,4.0,3.0,,
448,청산녹수생탁주,,1.0,3.0,3.0,3.0,,
449,청세주,,3.0,1.0,1.0,4.0,,
450,청송얼음골동동주,,2.0,3.0,4.0,2.0,,
451,청송주왕사과막걸리,,2.0,3.0,4.0,2.0,,
452,청양둔송구기주,,3.0,1.0,1.0,2.0,,
453,청진주,,2.0,2.0,1.0,1.0,,
454,청춘,,2.0,2.0,1.0,3.0,,
455,초선의꿈(로제),,1.0,3.0,,2.0,4.0,
456,추사40,5.0,,,,3.0,1.0,
457,추사로제,,2.0,3.0,2.0,1.0,,
458,추사백25,4.0,3.0,,,2.0,2.0,4.0
459,추사블루,,3.0,1.0,2.0,3.0,,
460,추사애플와인,,3.0,1.0,2.0,3.0,,
461,추성주,,2.0,0.0,3.0,2.0,,
462,추시와인,,3.0,2.0,2.0,3.0,,
463,줄포생막걸리,,2.0,2.0,3.0,4.0,,
464,충주백주,4.0,,,,3.0,2.0,
465,컨츄리산머루와인(드라이),,1.0,3.0,,3.0,4.0,
466,컨츄리산머루와인(스위트),,2.0,3.0,,2.0,2.0,
467,컨츄리와인캠벨얼리(스위트),,3.0,1.0,,3.0,4.0,
468,코이버펑크머스캣베일리에이,,3.0,3.0,3.0,4.0,,
